Name	Article Title	Title	Author(s)	Year	Citation	Keywords	Item Type	Path
AdvExpMedBiol_1989_v263_pp11_35_Kohne_DNA_probes_detect_identify_microorganisms.pdf	The Use of DNA Probes to Detect and Identify Microorganisms	The Use of DNA Probes to Detect and Identify Microorganisms	"Kohne, D.E.*"	1989	"in Advances in Experimental Medicine and Biology, Kleger, B., Jungkind, D., Hinks, E. & Miller, L. A. (Eds.), v. 263, pp. 11-35, 1989, Plenum Press, New York, NY"	"DNA, probe, hybridization, microorganism"	Item	sites/articleArch/Shared Documents
AktuelleUrologie_2009_v40_pp221_230_Stephan_et_al_PCA3.pdf	New Biomarkers and Application of Multivariate Models for Detection of Prostate Cancer	New Biomarkers and Application of Multivariate Models for Detection of Prostate Cancer	"Stephan, C.,* Cammann, H., Rittenhouse, H., Lein, M., Jentzmik, F., Schrader, M., Deger, S., Miller, K. & Jung., K."	2009	"Aktuelle Urologie 2009, 40, 221-230"	"prostate cancer, diagnosis, PSA, biomarkers, multivariate models"	Item	sites/articleArch/Shared Documents
AmClinLab_1995_v14_p8_Hill_PACE2C_assay.pdf	DNA probe assays for the detection of sexually transmitted diseases 	DNA probe assays for the detection of sexually transmitted diseases	"Hill, C.S.*"	1995	"American Clinical Laboratory 1995, 14, 8"		Item	sites/articleArch/Shared Documents
AmClinLab_1995_v18_p8_Hill_PACE2C_assay.pdf							Item	sites/articleArch/Shared Documents
AnalBiochem_1998_259_142_151_Brown_et_al_AE_detect_glucose_oxidase_activity.pdf	Employment of a Phenoxy-Substituted Acridinium Ester as a Long-Lived Chemiluminescent Indicator of Glucose Oxidase Activity and Its Application in an Alkaline Phosphatase Amplification Cascade Immunoassay	Employment of a Phenoxy-Substituted Acridinium Ester as a Long-Lived Chemiluminescent Indicator of Glucose Oxidase Activity and Its Application in an Alkaline Phosphatase Amplification Cascade Immunoassay	"Brown, R.C.,* Weeks, I., Fisher, M., Harbron, S., Taylorson, C.J. & Woodhead, J.S."	1998	"Analytical Biochemistry 1998, 259, 142–151"		Item	sites/articleArch/Shared Documents
AnalBiochem_2002_v301_pp57_64_Alazard_et_al_sequencing_MALDI.pdf	Sequencing of Production-Scale Synthetic Oligonucleotides by Enriching for Coupling Failures Using Matrix-Assisted Laser Desorption/Ionization Time-of-Flight Mass Spectrometry	Sequencing of Production-Scale Synthetic Oligonucleotides by Enriching for Coupling Failures Using Matrix-Assisted Laser Desorption/Ionization Time-of-Flight Mass Spectrometry	"Alazard, D.,* Filipowsky, M., Raeside, J., Clarke, M., Majlessi, M., Russell, J. & Weisburg, W."	2002	"Analytical Biochemistry, 2002, 301, 57-64"	oligonucleotide sequencing; MALDI-TOF mass spectrometry; crude synthetic oligonucleotide coupling failures; solid-phase extraction	Item	sites/articleArch/Shared Documents
AnalChem_2012_v84_pp9222_9229_Browne_et_al_AE_ET_probes.pdf	Spectrally Resolved Chemiluminescent Probes for Sensitive Multiplex Molecular Quantification	Spectrally Resolved Chemiluminescent Probes for Sensitive Multiplex Molecular Quantification	"Browne, K.A.,* Deheyn, D.D., Brown, R.C. & Weeks, I."	2012	"Analytical Chemistry 2012, 84, 9222-9229"		Item	sites/articleArch/Shared Documents
AnnClinBiochem_1993_v30_pp180_185_Turner_et_al_growth_hormome_by_immunochemiluminometric_assay.pdf	Urinary growth hormone excretion as measured by a sensitive immunochemiluminometric assay	Urinary growth hormone excretion as measured by a sensitive immunochemiluminometric assay	"Turner, G., Brown, R.C., Weeks, I., Butler, G.E., Creagh, F.N. &  Woodhead, J.S.* "	1993	"Annals of Clinical Biochemistry 1993, 30, 180-185"	acromegaly; short stature; growth velocity	Item	sites/articleArch/Shared Documents
AnticancerRes_2009_29_2589_2600_Stephan_et_al_prostate_cancer_markers.pdf	New Markers and Multivariate Models for Prostate Cancer Detection	New Markers and Multivariate Models for Prostate Cancer Detection	"Stephan, C.,* Rittenhouse, H., Cammann, H., Lein, M., Schrader, M., Deger, S., Miller, K. & Jung, K."	2009	"Anticancer Research 2009, 29, 2589-2600"		Item	sites/articleArch/Shared Documents
ApplEnvironMicro_2008_74_3319_3320_Morris_et_al_TMA_for_Enterococcus.pdf	Comparison of Transcription-Mediated Amplification and Growth-Based Methods for the Quantitation of Enterococcus Bacteria in Environmental Waters	Comparison of Transcription-Mediated Amplification and Growth-Based Methods for the Quantitation of Enterococcus Bacteria in Environmental Waters	"Morris, C.A.,* Blackwood, D.A., Kirs, M., Buttigieg, N.D., Morgan, R.R., Hogan, J.J., Weeks, I. & Noble, R.T."	2008	"Applied and Environmental Microbiology 2008, 74, 3319-3320"		Item	sites/articleArch/Shared Documents
Biochemistry_1996_v35_pp8429_8438_Nelson_et_al_simultaneous_detection.pdf	Simultaneous Detection of Multiple Nucleic Acid Targets in a Homogeneous Format	Simultaneous Detection of Multiple Nucleic Acid Targets in a Homogeneous Format	"Nelson, N.C.,* Cheikh, A.B., Matsuda, E. & Becker, M.M."	1996	"Biochemistry 1996, 35, 8429-8438"		Item	sites/articleArch/Shared Documents
